,ts_code,trade_date,close,open,high,low,pre_close,pct_change,vol,amount,vwap
219,AAPL,20190219,170.93,169.71,171.44,169.49,170.42,0.3,18972825,3235532608.66,170.54
220,AAPL,20190215,170.42,171.25,171.7,169.75,170.8,-0.22,24626813,4198615497.64,170.49
221,AAPL,20190214,170.8,169.71,171.26,169.38,170.18,0.36,21835747,3726691655.47,170.67
222,AAPL,20190213,170.18,171.39,172.48,169.92,170.89,-0.42,22490235,3846406159.92,171.03
223,AAPL,20190212,170.89,170.1,171.0,169.7,169.43,0.86,22283524,3796793835.21,170.39
224,AAPL,20190211,169.43,171.05,171.21,169.25,170.41,-0.58,20993426,3568114060.61,169.96
225,AAPL,20190208,170.41,168.99,170.66,168.42,170.94,-0.31,23819965,4044434733.29,169.79
226,AAPL,20190207,170.94,172.4,173.94,170.34,174.24,-1.89,31741692,5448178930.74,171.64
227,AAPL,20190206,174.24,174.65,175.57,172.85,174.18,0.03,28239590,4921330293.05,174.27
228,AAPL,20190205,174.18,172.86,175.08,172.35,171.25,1.71,36101629,6282553495.26,174.02
229,AAPL,20190204,171.25,167.41,171.66,167.28,166.52,2.84,31495583,5367323241.46,170.42
230,AAPL,20190201,166.52,166.96,168.98,165.93,166.44,0.05,32668137,5461988367.48,167.2
231,AAPL,20190131,166.44,166.11,169.0,164.56,165.25,0.72,40739649,6808952385.61,167.13
232,AAPL,20190130,165.25,163.25,166.15,160.23,154.68,6.83,61109782,9975365873.48,163.24
233,AAPL,20190129,154.68,156.25,158.13,154.11,156.3,-1.04,41587239,6478979931.91,155.79
234,AAPL,20190128,156.3,155.79,156.33,153.66,157.76,-0.93,26192059,4067330792.43,155.29
235,AAPL,20190125,157.76,155.48,158.13,154.32,152.7,3.31,33547895,5262292952.07,156.86
236,AAPL,20190124,152.7,154.11,154.48,151.74,153.92,-0.79,25441551,3884174566.36,152.67
237,AAPL,20190123,153.92,154.15,155.14,151.7,153.3,0.4,23130571,3549198762.32,153.44
238,AAPL,20190122,153.3,156.41,156.73,152.62,156.82,-2.24,30393969,4689409796.03,154.29
239,AAPL,20190118,156.82,157.5,157.88,155.98,155.86,0.62,33751024,5297675480.52,156.96
